Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000236,B cell,CXCL13,cytokine,Positive,10,8.21
CL_0002368,respiratory epithelial cell,CXCL8,cell,Positive,10,23.28
CL_0000084,T cell,CSF3,cytokine,Positive,10,0.17
CL_0000066,epithelial cell,IL6,cell,Positive,10,1.71
CL_0000057,fibroblast,IL1,cell,Positive,10,1.25
CL_0000084,T cell,CXCL12,cytokine,Unknown,10,1.55
CL_0000625,"CD8-positive, alpha-beta T cell",TNFSF9,cytokine,Positive,10,6.16
CL_0000576,monocyte,TGFB,cell,Positive,10,0.57
CL_0000115,endothelial cell,HGF,cytokine,Positive,10,6.71
CL_0000625,"CD8-positive, alpha-beta T cell",IL4,cytokine,Positive,10,0.55
CL_0000738,leukocyte,CXCL12,cytokine,Unknown,10,9.9
CL_0000066,epithelial cell,IFNG,cell,Positive,10,0.59
CL_0000084,T cell,IL4,cytokine,Negative,10,0.94
CL_0000057,fibroblast,CXCL8,cell,Positive,10,1.06
CL_0000624,"CD4-positive, alpha-beta T cell",IFNG,cytokine,Negative,10,1.18
CL_0000134,mesenchymal cell,FGF2,cell,Positive,10,8.63
CL_0000145,professional antigen presenting cell,IL10,cell,Positive,10,12.56
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL6,cytokine,Positive,10,0.85
CL_0002061,T-helper 9 cell,IL9,cell,Positive,10,1161.35
CL_0000235,macrophage,IFNA,cytokine,Positive,10,0.45
CL_0000084,T cell,CXCL13,cell,Positive,10,3.34
CL_0000899,T-helper 17 cell,IL17,cytokine,Unknown,10,23.8
CL_0000097,mast cell,CXCL8,cell,Positive,9,2.87
CL_0000233,platelet,TGFB1,cytokine,Unknown,9,3.13
CL_0000233,platelet,CXCL12,cell,Positive,9,4.4
CL_0000624,"CD4-positive, alpha-beta T cell",IL17,cytokine,Unknown,9,3.91
CL_0000765,erythroblast,EPO,cell,Positive,9,180.61
CL_0000236,B cell,IL12,cell,Positive,9,0.89
CL_0000097,mast cell,IFNG,cell,Positive,9,0.86
CL_0000066,epithelial cell,IL1,cell,Positive,9,2.55
CL_0000129,microglial cell,IFNG,cytokine,Unknown,9,1.88
CL_0000138,chondrocyte,IL1B,cytokine,Unknown,9,9.26
CL_0000148,melanocyte,FGF2,cytokine,Positive,9,14.51
CL_0000034,stem cell,IL3,cytokine,Positive,9,10.11
CL_0000145,professional antigen presenting cell,IL12,cell,Positive,9,23.46
CL_0000546,T-helper 2 cell,IL10,cytokine,Positive,9,1.47
CL_0000786,plasma cell,IL6,cytokine,Positive,9,7.6
CL_0000182,hepatocyte,TGFB1,cytokine,Negative,9,11.63
CL_0000576,monocyte,CSF3,cell,Positive,9,0.6
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL2,cytokine,Negative,9,3.34
CL_0000084,T cell,IL18,cytokine,Unknown,9,2.08
CL_0000893,thymocyte,IL2,cytokine,Unknown,9,3.61
CL_0000084,T cell,CCL2,cytokine,Positive,9,0.16
CL_0000236,B cell,IL2,cytokine,Negative,9,1.55
CL_0000775,neutrophil,IL17A,cytokine,Unknown,9,6.66
CL_0000057,fibroblast,IL1A,cytokine,Positive,9,3.36
CL_0000893,thymocyte,IL4,cell,Positive,9,3.72
CL_0000738,leukocyte,IL10,cytokine,Unknown,9,1.82
CL_0000890,alternatively activated macrophage,IL10,cell,Positive,9,14.9
CL_0000129,microglial cell,IL6,cell,Positive,9,2.53
CL_0000775,neutrophil,IFNG,cytokine,Negative,9,0.67
CL_0000233,platelet,FGF2,cell,Positive,9,2.23
CL_0000312,keratinocyte,TGFB,cytokine,Positive,9,0.96
CL_0000235,macrophage,IFN1,cytokine,Positive,9,1.69
CL_0000546,T-helper 2 cell,IL12,cytokine,Unknown,9,9.6
CL_0000623,natural killer cell,IFNA,cytokine,Unknown,9,3.51
CL_0000034,stem cell,TGFB,cytokine,Unknown,9,6.93
CL_0000127,astrocyte,TGFB,cell,Positive,9,3
CL_0000583,alveolar macrophage,CSF2,cell,Positive,9,9.39
CL_0000775,neutrophil,IL18,cytokine,Positive,9,2.31
CL_0000576,monocyte,IL18,cell,Positive,9,2.52
CL_0000092,osteoclast,IL1,cytokine,Positive,9,2.87
CL_0000084,T cell,IL21,cytokine,Positive,9,0.6
CL_0000235,macrophage,IFNA,cell,Positive,9,0.55
